issue_id,estimated_date,estimated_severity
MSCAD_ID_5205133,2023-09-06,"A massive data breach at Cigna Health exposed 17 billion records, including essential healthcare provider information, due to a non-password protected database, as discovered by cybersecurity researcher Jeremiah Fowler (first reported by cybersecurity research)."
MSCAD_ID_5000146,2022-07-23,"A hacker group claimed to have accessed 3.8 billion phone numbers from Clubhouse servers, potentially enabling them to rank individuals and organizations globally, as first reported on a hackers' forum."
MSCAD_ID_1246979,2021-04-27,"A massive data breach involving 3.28 billion passwords, including those related to government domains from several countries and accounts from large companies like Netflix and Gmail, was made public, posing a significant threat to personal and national security (first reported by Hacker News)."
MSCAD_ID_960677,2013-08-01,"Yahoo Inc. was accused of failing to protect over one billion user accounts' personal data from an unauthorized third party, leading to a class action lawsuit; the company was also criticized for inadequate user protection and insufficient, untimely warnings about potential and actual cybersecurity breaches (first reported in a court filing)."
MSCAD_ID_921174,2016-12-14,"Yahoo Inc reported a massive cyber attack compromising data from over 1 billion user accounts in August 2013, making it the largest breach in history, with information such as names, email addresses, telephone numbers, dates of birth and hashed passwords stolen by an unauthorized third party, believed to be state-sponsored (first reported by news)."
MSCAD_ID_5275931,2024-04-08,"A severe breach at National Public Data, a background check company, led to the exposure and theft of confidential data for nearly 3 billion people, including full names, addresses, and Social Security numbers, making it one of the largest single data breaches ever; the incident was first reported by the hacker group on a dark web forum."
MSCAD_ID_1084272,2018-08-13,"Google was found to be storing location data from Android and iPhone users, even when privacy settings were set to prevent this, potentially affecting over two billion users; the issue was confirmed by Princeton researchers and first reported by the Associated Press."
MSCAD_ID_1156851,2018-11-01,"Eight Android apps, with a total of over 2 billion downloads, were involved in an ad fraud scheme that exploited user permissions and potentially stole millions of dollars, as first reported by BuzzFeed News."
MSCAD_ID_5244268,2022-09-05,"A potential data breach in TikTok may have exposed up to 2 billion user database records due to an insecure server, and a high-severity vulnerability in the TikTok Android application could have allowed attackers to compromise users' accounts with a single click; both issues have been addressed (first reported by cybersecurity researchers and news reports)."
MSCAD_ID_711368,2003-07-30,"A significant breach where a hacker, Scott Levine, stole 1.6 billion customer records from Acxiom Corp., including names, addresses, emails, and phone numbers, during 137 hack attacks between January and July 2003; the company confirmed the breach and took steps to close the security gap (first reported by news)."
MSCAD_ID_620497,2003-07-30,"A former client employee, Scott Levine, conducted 137 hack attacks on Acxiom Corporation between January and July 2003, stealing 1.6 billion customer records containing personal information; Levine was later arrested and ordered to pay restitution (first reported by news)."
MSCAD_ID_5019963,2021-10-01,"Personal data of over 1.5 billion Facebook users, including names, email addresses, locations, gender, phone numbers, and Facebook User ID information, was found for sale on a hacker forum, potentially constituting one of the largest Facebook data dumps to date; the data was allegedly obtained by scraping publicly available information, and its authenticity has been questioned (first reported by Privacy Affairs)."
MSCAD_ID_1179310,2019-10-16,"A massive data leak from an unprotected Elasticsearch server, likely linked to data enrichment companies, exposed 4 billion user accounts, including names, email addresses, phone numbers, and social media profile information, affecting over 1.2 billion unique individuals, making it one of the largest data leaks from a single source in history (first reported by cybersecurity researchers)."
MSCAD_ID_842297,2015-07-28,"A security flaw in the Facebook API left 1.44 billion users at risk of having their personal information, including names, locations, phone numbers, and pictures, stolen by hackers; Facebook initially dismissed the issue as not significant (first reported by the researcher who discovered the vulnerability)."
MSCAD_ID_5198474,2021-03-01,"CVS inadvertently disclosed a database containing over 1 billion data points, including searches for COVID-19 vaccines on CVS.com and CVSHealth.com, potentially impacting a large number of users; the incident was first reported by news (Forbes)."
MSCAD_ID_1252761,2021-06-10,"A misconfigured online database belonging to CVS Health exposed over a billion records, including visitor IDs, session IDs, device access information, and search records for medications and CVS products, potentially enabling targeted phishing and competitor interest; the incident was first reported by WebsitePlanet and researcher Jeremiah Fowler."
MSCAD_ID_5280955,2024-08-23,"Avfuel Corporation experienced a significant data breach, with unauthorized acquisition of files containing personal information of potentially billions of individuals, including names, Social Security numbers, driver's license numbers, financial account numbers, unique biometric data, genetic information, and health or medical records; however, there is no evidence of misuse of the information (first reported by the company)."
MSCAD_ID_4040755,2014-08-05,"A Russian hacker group, dubbed CyberVor, amassed over 1 billion username and password combinations and more than 500 million email addresses from hundreds of thousands of websites, marking the largest-ever haul of stolen Internet credentials, but no payment card information or Social Security numbers were threatened (first reported by news and the security firm Hold Security)."
MSCAD_ID_5120032,2022-10-05,"A significant data breach at EPAL, Inc. impacted over 1 million orders, with leaked information potentially including email addresses, names, and purchase details; the incident was reported by the California Attorney General's office."
MSCAD_ID_1192307,2020-03-01,"A significant data exposure incident occurred on the Whisper app, where an open database without password protection exposed approximately 900 million records, including location data and other personal information tied to anonymous posts, potentially compromising user anonymity; the exposed data did not include usernames but did include age, gender, nickname, country, IP address, and timezone, as well as user-submitted images and videos (first reported by independent researchers and news)."
MSCAD_ID_1216203,2020-07-21,"First American Title Company was sued by the New York State Department of Financial Services for a vulnerability in their system that exposed over 885 million documents containing sensitive customer information, which was first introduced in 2014 and went undetected until May 2019; the company was later fined $1 million in 2023 (first reported in a lawsuit filing)."
MSCAD_ID_1148954,2019-05-24,"First American Financial Corp, a Fortune 500 real estate title insurance giant, leaked approximately 885 million documents related to mortgage deals, including sensitive information such as bank account numbers, Social Security numbers, and driver's license images, dating back to 2003, due to a design defect in an application; the issue was first reported by KrebsOnSecurity."
MSCAD_ID_1252827,2021-06-25,"A misconfigured cloud database exposed over 800 million records linked to WordPress users, including admin and user information, potentially putting users at risk of phishing and other cyber attacks; the database was secured within hours of notification (first reported by Website Planet)."
MSCAD_ID_5182374,2022-03-28,"A severe data breach at Verifications resulted in the exposure of personal and financial data of over 763 million people, including emails, phone numbers, addresses, social media account details, credit scores, and mortgage data; first reported on a breach forum site."
MSCAD_ID_1231785,2020-11-01,"Ancestry.com Operations, Inc. was accused of intruding on the privacy of individuals by collecting and using their personal information from school yearbooks without consent, affecting approximately 730 million records, first reported by legal documents."
MSCAD_ID_1253379,2021-06-22,"A severe breach exposed the data of 700 million LinkedIn users, more than 92% of the total user base, including phone numbers, physical addresses, geolocation data, and inferred salaries; the data, obtained via misuse of the LinkedIn API, is being sold on the dark web and can be used for identity theft and phishing attempts (first reported by news)."
MSCAD_ID_965674,2017-08-31,"Instagram suffered a significant data breach, with hackers gaining access to phone numbers and email addresses of many high-profile users, affecting its 700 million user base; the breach was due to a flaw in Instagram's API, which has since been patched (first reported by news)."
MSCAD_ID_1255077,2021-07-12,"A significant data scrape of LinkedIn resulted in the exposure of data from approximately 600 million user profiles, including full names, email addresses, phone numbers, and other professional information; however, no deeply sensitive information like personal messages or credit card details were included, as first reported on a hacker forum."
MSCAD_ID_5275151,2024-08-01,"A class action lawsuit was filed against Ticketmaster and Live Nation Entertainment for allegedly failing to secure and safeguard personally identifiable information, which was accessed by an unauthorized party between April and May 2024, affecting an unspecified number of US residents (first reported in court filings)."
MSCAD_ID_5275151,2024-08-01,"A class action lawsuit was filed against Ticketmaster and Live Nation Entertainment for allegedly failing to secure and safeguard personally identifiable information, which was accessed by an unauthorized party between April and May 2024, affecting an unspecified number of US residents; the lawsuit seeks various forms of relief including damages and injunctive relief (first reported in court filings)."
